folder,pages,series,slug,tonggwon,publish_date,title,author,verdict,note
CNTS-00048038033,5,69,069_新文_1921-07,131,1921-07-15,新文化는 무엇에 依하야 建設되랴,李敦化,편,
CNTS-00048038039,6,,,,,(NL) 天道敎會月報第壹百參拾五號 : 우리時代의創造事業,,중복,지면이 바이트 단위로 같다 → 086_우리_1921-11
CNTS-00048047533,4,06,006_還人_1911-09,,,(NL) 알人欲이라야眞樂生이오眞樂이라야世界得幸福이라,,편,
CNTS-00048047578,2,,,,,(NL) 夢天解,,편외,🔴 NL 서지는 필자를 李敦化로 적었다 — 서지 오류다. **이돈화의 글이 아니다.** ⚠️ 2026-08-12 첫 판독에서는 李敦性으로 읽었으
CNTS-00048050609,3,23,023_個性_1914-01,42,1914-01-15,個性中心說,李敦化,편,
CNTS-00048050664,3,26,026_韓錫_1914-05,46,1914-05-15,韓錫泰君追悼會席에서,李敦化,편,
CNTS-00048051116,3,28,028_余暗_1914-10,51,1914-10-15,余의 暗遊,李敦化,편,
CNTS-00048051212,3,33,033_金剛_1915-09,62,1915-09-15,金剛山追憶大神師,李敦化,편,
CNTS-00048051218,3,34,034_大宇_1915-10,63,1915-10-15,大宇宙之戀愛,李敦化,편,
CNTS-00048051447,7,37,037_吾敎_1917-12,89,1917-12-15,吾敎의 大宗,李敦化,편,
CNTS-00048051448,3,122,122_野花_1917-12,89,1917-12-15,野花千萬枝遊客忘歸家,滄海居士,편,
CNTS-00048051476,4,124,124_是我_1918-02,91,1918-02-15,是我死生觀,滄海居士,편,
CNTS-00048051495,7,91,091_因襲_1918-04,93,1918-04-15,因襲的主觀에 拘束된 世人의 誤解,夜雷,편,
CNTS-00048051512,4,93,093_宗敎_1918-07,95,1918-07-15,宗敎的修養과 處世方法(其一),夜雷,편,
CNTS-00048051530,6,95,095_迷信_1918-09,97,1918-09-15,迷의 信仰으로 覺의 信仰에,夜雷,편,
CNTS-00048051553,3,,,,,(NL) [天道敎會月報 第九十九號] 敎理部 : 大神師性靈出世說. 其5,,중복,지면이 바이트 단위로 같다 → 082_大神5_1918-11
CNTS-00048051555,4,131,131_任筆_1918-11,99,1918-11-15,任筆錄(其六),滄海居士,편,
CNTS-00048051588,4,133,133_任筆_1919-01,101,1919-01-15,任筆錄,滄海居士,편,
CNTS-00048051596,6,46,046_將來_1919-02,102,1919-02-15,將來의 宗敎,李敦化,편,
CNTS-00048051635,7,141,141_神人_1919-07,107,1919-07-15,神人의 跡,白頭山人,편,
CNTS-00048051645,4,143,143_略史_1919-09,109,1919-09-15,略史及敎理,白頭山人,편,
CNTS-00048051649,3,144,144_北遊_1919-09,109,1919-09-15,北遊半個月,滄海居士,편,
CNTS-00048051660,5,54,054_十月_1919-11,111,1919-11-15,十月二十八日大祈禱,李敦化,편,
CNTS-00048051661,3,146,146_略史_1919-11,111,1919-11-15,略史及敎理,白頭山人,편,
CNTS-00048051672,3,149,149_理想_1919-12,112,1919-12-15,理想의 力,滄海居士,편,
CNTS-00048051700,4,111,111_眞人_1920-02,114,1920-02-15,眞의 人生,夜雷,편,
CNTS-00048051761,5,115,115_朝鮮_1920-06,118,1920-06-15,朝鮮에 特有한 宗敎思想을 論함,夜雷,편,
CNTS-00048051778,9,62,062_十週_1920-08,120,1920-08-15,十週年,李敦化,편,
CNTS-00048051798,6,118,118_實在_1920-11,123,1920-11-15,實在論으로 觀한 人乃天主義,夜雷,편,
CNTS-00048051824,8,119,119_質疑_1921-04,128,1921-04-15,質疑者에게 答함,夜雷,편,
CNTS-00048051863,6,71,071_新紀_1922-01,137,1922-01-15,新紀元을 劃한 우리敎의 新面目,李敦化,편,
CNTS-00048051884,6,74,074_信仰_1922-04,140,1922-04-15,信仰 觀念의 本體(續),李敦化,편,
CNTS-00048060752,3,02,002_信念_1911-04,,,(NL) 信念의神聖,,편,
CNTS-00048060778,3,03,003_宗敎_1911-06,,,(NL) 宗敎統一은自然의勢,,편,
CNTS-00048060783,3,04,004_人乃_1911-07,,,(NL) 人乃天,,편,
CNTS-00048061346,4,,,,,(NL) 新年에對한新感想으로新發明을公告함,,미판정,편에 붙지 않은 폴더 — 중복·편외·미전사 가운데 하나. source_pages_MAP.csv 참조
CNTS-00048061495,5,20,020_光說_1913-02,31,1913-02-15,光의 說,李敦化,편,
CNTS-00048061515,4,,,,,(NL) 靈性的生活,,중복,지면이 바이트 단위로 같다 → 078_靈性_1913-04
CNTS-00048064195,2,158,158_我觀_1913-07,36,1913-07-15,我觀苦樂論,李敦化,편외,코퍼스에 없는 이돈화 글. 지면이 이미 있으므로 전사하면 편입할 수 있다
CNTS-00048064297,5,24,024_定州_1914-03,44,1914-03-15,定州郡敎區室實記,李敦化,편,
CNTS-00048064313,3,25,025_吊孫_1914-04,45,1914-04-15,吊孫鳳奎文幷小引,李敦化,편,
CNTS-00048064794,5,29,029_真理_1914-11,52,1914-11-15,真理의 根底를 誤解치 勿하라,李敦化,편,
CNTS-00048064840,3,30,030_最高_1915-05,58,1915-05-15,最高消遣法,李敦化,편,
CNTS-00048064887,3,,,,,(NL) 片時後寂寞을斷不爲라,,미판정,편에 붙지 않은 폴더 — 중복·편외·미전사 가운데 하나. source_pages_MAP.csv 참조
CNTS-00048065094,3,36,036_是我_1917-11,88,1917-11-15,是我修養,李敦化,편,
CNTS-00048065105,2,87,087_永久_1917-12,89,1917-12-15,永久之愛妻,夜雷,편,
CNTS-00048065130,4,125,125_近庚_1918-03,92,1918-03-15,近ᄒᆞ야 오ᄂᆞᆫ 庚申四月,滄海居士,편,
CNTS-00048065141,6,126,126_任筆_1918-04,93,1918-04-15,任筆錄,滄海居士,편,
CNTS-00048065151,4,92,092_京城_1918-05,94,1918-05-15,京城에셔 永興까지,夜雷,편,
CNTS-00048065154,5,42,042_大神_1918-07,95,1918-07-15,大神師性靈出世說(其一),李敦化,편,
CNTS-00048065177,3,,,,,(NL) [天道敎會月報 第九十七號] 敎理部 : 大神師性靈出世說. 其3,,중복,지면이 바이트 단위로 같다 → 080_大神3_1918-09
CNTS-00048065181,4,129,129_任筆_1918-09,97,1918-09-15,任筆錄(其五),滄海居士,편,
CNTS-00048065182,3,43,043_追悼_1918-09,97,1918-09-15,追悼香山文,李敦化,편,
CNTS-00048065192,5,96,096_各其_1918-10,98,1918-10-15,各其所信을 反省ᄒᆞ라,夜雷,편,
CNTS-00048065229,4,132,132_任筆_1918-12,100,1918-12-18,任筆錄(其八),滄海居士,편,
CNTS-00048065270,12,102,102_默念_1919-04,104,1919-04-15,默念論,夜雷,편,
CNTS-00048065272,5,48,048_靈通_1919-04,104,1919-04-15,靈通說,李敦化,편,
CNTS-00048065278,6,105,105_處世_1919-07,107,1919-07-15,處世神言,夜雷,편,
CNTS-00048065284,5,139,139_最後_1919-06,106,1919-06-15,最後宗敎의 大性無量光,白頭山人,편,
CNTS-00048065323,5,55,055_改造_1919-12,112,1919-12-15,改造와 宗敎,李敦化,편,
CNTS-00048065337,6,56,056_天道_1920-01,113,1920-01-15,天道敎六十一歲花甲庚申을 迎喜,李敦化,편,
CNTS-00048065340,5,110,110_宇宙_1920-01,113,1920-01-15,宇宙의 中心,夜雷,편,
CNTS-00048065343,3,151,151_涙_1920-01,113,1920-01-15,涙,滄海居士,편,
CNTS-00048065355,3,112,112_經傳_1920-03,115,1920-03-15,經傳의 硏究,夜雷,편,
CNTS-00048065358,6,58,058_庚申_1920-04,116,1920-04-15,庚申四月五日,李敦化,편,
CNTS-00048065377,8,60,060_自己_1920-06,118,1920-06-15,自己解放과 人乃天主義,李敦化,편,
CNTS-00048065438,7,,,,,(NL) 天道敎會月報第貳百貳拾四號 : 年齡論,,중복,지면이 바이트 단위로 같다 → 084_年齡_1920-12
CNTS-00048065445,8,66,066_布德_1921-02,126,1921-02-15,布德天下,李敦化,편,
CNTS-00048065504,8,156,156_年齡_1921-12,136,1921-12-15,年齡上 問題,白頭山人,편,
CNTS-00048065516,8,73,073_信仰_1922-03,139,1922-03-15,信仰 觀念의 本體,李敦化,편,
CNTS-00048065528,3,75,075_宗教_1922-05,141,1922-05-15,宗教의 六大 要素,李敦化,편,
CNTS-00048074995,5,07,007_大雄_1911-10,,,(NL) 大雄無畏觀,,편,
CNTS-00048075020,3,09,009_運命_1911-12,,,(NL) 運命說,,편,
CNTS-00048075088,3,14,014_自修_1912-05,22,1912-05-15,自修喻人의 解,李敦化,편,
CNTS-00048075104,4,15,015_東經_1912-06,23,1912-06-15,東經大全要旨講解,李敦化,편,
CNTS-00048075115,4,16,016_東經_1912-07,24,1912-07-15,東經大全要旨講解(續),李敦化,편,
CNTS-00048075139,4,17,017_東經_1912-09,26,1912-09-15,東經要旨講解(續),李敦化,편,
CNTS-00048075155,8,,,,,(NL) 靈通力이事實됨을 해명홈-緖言,,중복,지면이 바이트 단위로 같다 → 077_靈通1_1912-10
CNTS-00048075206,3,19,019_理想_1913-01,30,1913-01-15,理想中新光陰,李敦化,편,
CNTS-00048075223,2,21,021_默念_1913-03,32,1913-03-15,默念中三我,李敦化,편,
CNTS-00048077949,6,22,022_紀念_1913-08,37,1913-08-15,紀念과 余의 告白,李敦化,편,
CNTS-00048078073,4,27,027_定州_1914-08,49,1914-08-15,定州로 붓터 高原에,李敦化,편,
CNTS-00048078602,3,31,031_篤心_1915-06,59,1915-06-15,篤心者의 精靈不滅,李敦化,편,
CNTS-00048078620,7,32,032_人生_1915-08,61,1915-08-15,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,李敦化,편,
CNTS-00048078754,3,35,035_人生_1917-01,78,1917-01-15,人生과 新年,李敦化,편,
CNTS-00048078852,3,121,121_追僧_1917-11,88,1917-11-15,追僧과 活僧,滄海居士,편,
CNTS-00048078878,3,39,039_宗敎_1918-02,91,1918-02-15,宗敎의 兩側面,李敦化,편,
CNTS-00048078891,5,40,040_信仰_1918-03,92,1918-03-15,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,李敦化,편,
CNTS-00048078893,5,90,090_孤灯_1918-03,92,1918-03-15,孤灯의 下에셔,夜雷,편,
CNTS-00048078918,3,128,128_任筆_1918-07,95,1918-07-15,任筆錄(其三),滄海居士,편,
CNTS-00048078924,4,,,,,(NL) [天道敎會月報 第九十六號] 敎理部 : 大神師性靈出世說. 其2,,중복,지면이 바이트 단위로 같다 → 079_大神2_1918-08
CNTS-00048078969,5,98,098_信仰_1918-12,100,1918-12-18,信仰性과 社會性(其二),夜雷,편,
CNTS-00048078992,5,100,100_信仰_1919-02,102,1919-02-15,信仰性과 社會性(其四),夜雷,편,
CNTS-00048079000,5,47,047_我觀_1919-03,103,1919-03-15,我觀東經,李敦化,편,
CNTS-00048079004,6,135,135_蓬萊_1919-03,103,1919-03-15,蓬萊山(其二),滄海居士,편,
CNTS-00048079013,5,137,137_心世_1919-04,104,1919-04-15,心의 世界,滄海居士,편,
CNTS-00048079015,3,157,157_蓬萊_1919-05,105,1919-05-15,蓬萊山,滄海居士,편,
CNTS-00048079021,7,49,049_默念_1919-05,105,1919-05-15,默念論(續),李敦化,편,
CNTS-00048079026,8,50,050_眞實_1919-06,106,1919-06-15,眞實된 信仰生活,李敦化,편,
CNTS-00048079027,5,104,104_默念_1919-06,106,1919-06-15,默念論(續),夜雷,편,
CNTS-00048079050,5,107,107_動物_1919-10,110,1919-10-15,動物園訪問記,夜雷,편,
CNTS-00048079064,3,108,108_新信_1919-11,111,1919-11-15,新信仰,夜雷,편,
CNTS-00048079075,4,109,109_萬事_1919-12,112,1919-12-15,萬事知,夜雷,편,
CNTS-00048079093,6,57,057_天道_1920-02,114,1920-02-15,天道敎靑年臨時敎理講習會에 就하야,李敦化,편,
CNTS-00048079095,3,152,152_大神_1920-02,114,1920-02-15,大神師이 法言이 時代의 預言的으로 되야음,滄海居士,편,
CNTS-00048079120,4,113,113_混沌_1920-04,116,1920-04-15,混沌으로 나와 混沌에 도라가는 人生,夜雷,편,
CNTS-00048079146,5,61,061_自己_1920-07,119,1920-07-15,自己解放과 人乃天主義(續),李敦化,편,
CNTS-00048079157,3,154,154_遺詞_1920-08,120,1920-08-15,遺詞中으로 觀한 大神師의 法訓,白頭山人,편,
CNTS-00048079165,2,155,155_問者_1920-09,121,1920-09-15,問者의게 答함,滄海居士,편,
CNTS-00048079183,8,65,065_拘束_1920-11,123,1920-11-15,拘束의 宗敎로부터 自由의 宗敎,李敦化,편,
CNTS-00048079209,7,67,067_同歸_1921-03,127,1921-03-15,同歸一體,李敦化,편,
CNTS-00048079217,6,,,,,(NL) 天道敎會月報第壹百貳拾八號 : 사람性의無窮을論하노라,,중복,지면이 바이트 단위로 같다 → 085_사람性_1921-04
CNTS-00048079229,5,68,068_性無_1921-06,130,1921-06-15,사람性의 無窮을 論하노라(續),李敦化,편,
CNTS-00048079238,3,120,120_質疑_1921-07,131,1921-07-15,質疑者의게 答함,夜雷,편,
CNTS-00048079251,6,70,070_中國_1921-12,136,1921-12-15,中國 北京의 傳敎室 問題를 둣고 吾敎의 對外 發展을 賀함,李敦化,편,
CNTS-00048079265,5,,,,,(NL) 進化의측면으로본人乃天,,별판,C72(`CNTS-00133846655`)와 같은 글의 다른 스캔. NL에 레코드가 둘이다
CNTS-00133846413,4,123,123_龍潭_1918-01,90,1918-01-15,龍潭心法,滄海居士,편,
CNTS-00133846655,5,72,072_進化_1922-02,138,1922-02-15,進化의 側面으로 본 人乃天,李敦化,편,
