series_index,publish_date,tonggwon,section,title,page_in_journal,n_pages_journal_total,cnts_id,downloaded_pages,downloaded_bytes,partial
90,1918-03-15,92,雜俎,孤灯의 下에셔,32,0,CNTS-00048078893,5,1258083,N
91,1918-04-15,93,敎門訂議,因襲的主觀에 拘束된 世人의 誤解,1,0,CNTS-00048051495,7,1927390,N
92,1918-05-15,94,雜俎,京城에셔 永興까지,43,0,CNTS-00048065151,4,1022085,N
93,1918-07-15,95,敎門訂議,宗敎的修養과 處世方法(其一),1,0,CNTS-00048051512,4,898318,N
94,1918-08-15,96,敎門訂議,宗敎的修養과 處世方法(其二),6,0,CNTS-00048037717,5,1188107,N
95,1918-09-15,97,敎門訂議,迷의 信仰으로 覺의 信仰에,1,0,CNTS-00048051530,6,1458786,N
96,1918-10-15,98,敎門訂議,各其所信을 反省ᄒᆞ라,8,0,CNTS-00048065192,5,1288590,N
97,1918-11-15,99,敎門訂議,信仰性과 社會性,6,0,CNTS-00048037734,5,1127133,N
98,1918-12-18,100,敎理部,信仰性과 社會性(其二),19,0,CNTS-00048078969,5,1191177,N
99,1919-01-15,101,敎理部,信仰性과 社會性(續),13,0,CNTS-00048037772,4,881301,N
100,1919-02-15,102,敎理部,信仰性과 社會性(其四),11,0,CNTS-00048078992,5,1119984,N
101,1919-03-15,103,敎門訂議,將來의 宗敎(續),1,0,CNTS-00048037792,8,1761300,N
102,1919-04-15,104,敎門訂議,默念論,1,0,CNTS-00048065270,12,2874537,N
103,1919-05-15,105,敎門訂議,將來의 宗敎(其三),6,0,CNTS-00048037809,5,1253148,N
104,1919-06-15,106,敎理部,默念論(續),15,0,CNTS-00048079027,5,1007718,N
105,1919-07-15,107,講演,處世神言,23,0,CNTS-00048065278,6,1405322,N
106,1919-09-15,109,敎理部,自力的敎化,17,0,CNTS-00048037838,4,708943,N
107,1919-10-15,110,讀者文壇,動物園訪問記,37,0,CNTS-00048079050,5,1081107,N
108,1919-11-15,111,敎理部,新信仰,19,0,CNTS-00048079064,3,482238,N
109,1919-12-15,112,敎理部,萬事知,20,0,CNTS-00048079075,4,834811,N
110,1920-01-15,113,敎理部,宇宙의 中心,27,0,CNTS-00048065340,5,996948,N
111,1920-02-15,114,敎理部,眞의 人生,15,0,CNTS-00048051700,4,755892,N
112,1920-03-15,115,敎理部,經傳의 硏究,23,0,CNTS-00048065355,3,614419,N
113,1920-04-15,116,,混沌으로 나와 混沌에 도라가는 人生,38,0,CNTS-00048079120,4,819008,N
114,1920-05-15,117,講演,水陸三千里,80,0,CNTS-00048037937,8,1797057,N
115,1920-06-15,118,,朝鮮에 特有한 宗敎思想을 論함,38,0,CNTS-00048051761,5,1017675,N
116,1920-08-15,120,,本報의 三界,39,0,CNTS-00048037958,4,895744,N
117,1920-09-15,121,,呪文의 哲學的 意義,18,0,CNTS-00048037963,2,394693,N
118,1920-11-15,123,,實在論으로 觀한 人乃天主義,31,0,CNTS-00048051798,6,1327490,N
119,1921-04-15,128,,質疑者에게 答함,53,0,CNTS-00048051824,8,1877111,N
120,1921-07-15,131,,質疑者의게 答함,58,0,CNTS-00048079238,3,593524,N
121,1917-11-15,88,雜俎,追僧과 活僧,24,0,CNTS-00048078852,3,806034,N
122,1917-12-15,89,敎理部,野花千萬枝遊客忘歸家,11,0,CNTS-00048051448,3,794177,N
123,1918-01-15,90,敎理部,龍潭心法,9,0,CNTS-00133846413,4,1461516,N
124,1918-02-15,91,講演,是我死生觀,16,0,CNTS-00048051476,4,1077422,N
125,1918-03-15,92,敎門訂議,近ᄒᆞ야 오ᄂᆞᆫ 庚申四月,5,0,CNTS-00048065130,4,1030643,N
126,1918-04-15,93,雜俎,任筆錄,42,0,CNTS-00048065141,6,1515066,N
127,1918-05-15,94,敎理部,偉大ᄒᆞᆫ 心의 世界 其二,15,0,CNTS-00048037693,5,1355141,N
128,1918-07-15,95,雜俎,任筆錄(其三),30,0,CNTS-00048078918,3,696330,N
129,1918-09-15,97,雜俎,任筆錄(其五),31,0,CNTS-00048065181,4,906395,N
130,1918-10-15,98,雜俎,任筆錄(其六),30,0,CNTS-00048037726,5,1317855,N
131,1918-11-15,99,雜俎,任筆錄(其六),37,0,CNTS-00048051555,4,953663,N
132,1918-12-18,100,雜俎,任筆錄(其八),63,0,CNTS-00048065229,4,922656,N
133,1919-01-15,101,雜俎,任筆錄,40,0,CNTS-00048051588,4,900514,N
134,1919-02-15,102,雜俎,蓬萊山(其一),39,0,CNTS-00048037784,6,1319143,N
135,1919-03-15,103,雜俎,蓬萊山(其二),30,0,CNTS-00048079004,6,1258062,N
136,1919-04-15,104,講演,余의 告白,31,0,CNTS-00048037801,4,898525,N
137,1919-04-15,104,敎理部,心의 世界,16,0,CNTS-00048079013,5,1208499,N
138,1919-05-15,105,講演,處世神言,23,0,CNTS-00048037826,4,768201,N
139,1919-06-15,106,講演,最後宗敎의 大性無量光,24,0,CNTS-00048065284,5,1095571,N
140,1919-06-15,106,雜俎,月尾島의 春色,39,0,CNTS-00048037816,5,1028943,N
141,1919-07-15,107,敎理部,神人의 跡,16,0,CNTS-00048051635,7,1372564,N
142,1919-07-15,107,講演,體的倫理,27,0,CNTS-00048037827,4,856948,N
143,1919-09-15,109,敎理部,略史及敎理,13,0,CNTS-00048051645,4,731659,N
144,1919-09-15,109,雜俎,北遊半個月,41,0,CNTS-00048051649,3,524769,N
145,1919-10-15,110,敎理部,略史及敎理(其三),12,0,CNTS-00048037847,4,933153,N
146,1919-11-15,111,敎理部,略史及敎理,12,0,CNTS-00048051661,3,629836,N
147,1919-11-15,111,敎理部,活動主義의 道德,15,0,CNTS-00048037861,4,807088,N
148,1919-12-15,112,敎理部,略史及敎理,17,0,CNTS-00048037878,3,615071,N
149,1919-12-15,112,敎理部,理想의 力,24,0,CNTS-00048051672,3,642567,N
150,1920-01-15,113,敎理部,略史及敎理,23,0,CNTS-00048037891,3,623924,N
151,1920-01-15,113,讀者文壇,涙,71,0,CNTS-00048065343,3,575297,N
152,1920-02-15,114,敎理部,大神師이 法言이 時代의 預言的으로 되야음,27,0,CNTS-00048079095,3,560422,N
153,1920-03-15,115,敎理部,略史及敎理,20,0,CNTS-00048037914,3,629650,N
154,1920-08-15,120,,遺詞中으로 觀한 大神師의 法訓,56,0,CNTS-00048079157,3,683828,N
155,1920-09-15,121,,問者의게 答함,36,0,CNTS-00048079165,2,433325,N
156,1921-12-15,136,,年齡上 問題,73,0,CNTS-00048065504,8,2050483,N
157,1919-05-15,105,雜俎,蓬萊山,38,0,CNTS-00048079015,3,640574,N
158,1913-07-15,36,講演,我觀苦樂論,19,65,CNTS-00048064195,6,0,N
159,1914-07-15,48,講演,幸福이 何處在오 究竟是精神內觀,18,0,,4,0,N
160,1916-12-15,77,講演,人生,19,0,,5,0,N
161,1918-08-15,96,雜俎,任筆錄(其四),39,0,,5,0,N
162,1919-08-15,108,敎門訂議,事人如天主義,1,0,,6,0,N
163,1919-08-15,108,敎理部,三世一貫心法,13,0,,4,0,N
164,1919-08-15,108,敎理部,略史及敎理,19,0,,4,0,N
165,1919-08-15,108,講演,師訓,35,0,,3,0,N
166,1921-08-15,132,,萬事知는 即實行,1,0,,7,0,N
