series,slug,tonggwon,publish_date,section,title,author,page_start,page_range,pages_held,partial,coverage_note,bib_checked,bib_checker,bib_status,bib_note,transcript,markers,big_diff,units,divider,engines,empty_engines,cross_checked,keyword_hits
22,22_紀念_1913-08,37,1913-08-15,敎門訂議,紀念과 余의 告白,李敦化,6,,6,N,,,,,,draft,217,5,12,고정값,claude_opus_4_7:12 gemini:12 seam:4,gemini,0,2
23,23_個性_1914-01,42,1914-01-15,敎理部,個性中心說,李敦化,15,,3,N,,,,,,draft,102,2,6,고정값,claude_opus_4_7:6 gemini:6 seam:2,,2,5
24,24_定州_1914-03,44,1914-03-15,敎門訂議,定州郡敎區室實記,李敦化,4,,5,N,,,,,,draft,141,3,10,고정값,claude_opus_4_7:10 gemini:10 seam:4,gemini,0,0
25,25_吊孫_1914-04,45,1914-04-15,雜俎,吊孫鳳奎文幷小引,李敦化,32,,3,N,,,,,,draft,79,3,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,0,1
26,26_韓錫_1914-05,46,1914-05-15,雜俎,韓錫泰君追悼會席에서,李敦化,28,,3,N,,,,,,draft,76,3,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,0,0
27,27_定州_1914-08,49,1914-08-15,雜俎,定州로 붓터 高原에,李敦化,32,,4,N,,,,,,draft,188,3,8,고정값,claude_opus_4_7:8 gemini:8 seam:4,,0,1
28,28_余暗_1914-10,51,1914-10-15,雜俎,余의 暗遊,李敦化,28,,3,N,,,,,,draft,101,7,6,고정값,claude_opus_4_7:6 gemini:6 seam:2,,0,0
29,29_真理_1914-11,52,1914-11-15,敎理部,真理의 根底를 誤解치 勿하라,李敦化,7,,5,N,,,,,,draft,172,3,10,고정값,claude_opus_4_7:10 gemini:10 seam:5,,0,19
30,30_最高_1915-05,58,1915-05-15,講演,最高消遣法,李敦化,25,,3,N,,,,,,정본,83,4,6,고정값,claude_opus_4_7:6 gemini:6 reread_x4:6 reread_x4_all:6 reread_x4_cand:6 reread_x4_candb:6 reread_x4_o5:6 reread_x4_o5b:6 reread_x4_split:6 seam:2,,0,11
31,31_篤心_1915-06,59,1915-06-15,雜俎,篤心者의 精靈不滅,李敦化,38,,3,N,,,,,,정본,199,6,6,고정값,claude_opus_4_7:6 gemini:6 reread_x4:3 seam:3,,0,2
32,32_人生_1915-08,61,1915-08-15,敎理部,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,李敦化,12,,7,N,,,,,,정본,287,17,14,고정값,claude_opus_4_7:14 gemini:14 reread_x4:3 seam:4 sonnet_4_6:14,,0,10
33,33_金剛_1915-09,62,1915-09-15,雜俎,金剛山追憶大神師,李敦化,34,,3,N,,,,,,정본,156,6,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,0,0
34,34_大宇_1915-10,63,1915-10-15,講演,大宇宙之戀愛,李敦化,26,,3,N,,,,,,정본,129,7,6,고정값,claude_opus_4_7:6 gemini:6 seam:2,,0,0
35,35_人生_1917-01,78,1917-01-15,敎門訂議,人生과 新年,李敦化,5,,3,N,,,,,,정본,97,1,6,고정값,claude_opus_4_7:6 gemini:6 seam:1,,0,1
36,36_是我_1917-11,88,1917-11-15,敎理部,是我修養,李敦化,10,,3,N,,,,,,정본,104,4,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,,0,1
37,37_吾敎_1917-12,89,1917-12-15,敎門訂議,吾敎의 大宗,李敦化,2,,7,N,,,,,,정본,238,2,14,고정값,claude_opus_4_7:14 gemini:14 seam:5,gemini,0,57
38,38_新年_1918-01,90,1918-01-15,敎門訂議,新年과 人生,李敦化,5,,3,N,,,,,,draft,75,1,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,2,12
39,39_宗敎_1918-02,91,1918-02-15,敎理部,宗敎의 兩側面,李敦化,9,,3,N,,,,,,draft,77,4,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,1,12
40,40_信仰_1918-03,92,1918-03-15,講演,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,李敦化,18,,5,N,,,,,,draft,260,42,10,고정값,claude_opus_4_7:10 gemini:10 seam:5,gemini,0,6
41,41_兩道_1918-05,94,1918-05-15,敎門訂議,兩道師巡回와 關北敎友,李敦化,8,,5,N,,,,,,draft,274,10,10,고정값,claude_opus_4_7:10 gemini:10 seam:5,gemini,0,15
42,42_大神_1918-07,95,1918-07-15,敎理部,大神師性靈出世說(其一),李敦化,10,,5,N,,,,,,draft,324,22,10,고정값,claude_opus_4_7:10 gemini:10 seam:5,gemini,0,14
43,43_追悼_1918-09,97,1918-09-15,雜俎,追悼香山文,李敦化,37,,3,N,,,,,,draft,123,6,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,0,1
44,44_百號_1918-12,100,1918-12-18,敎門訂議,百號紀念에 對ᄒᆞᆫ 余의 感想,李敦化,9,,5,N,,,,,,draft,295,17,10,고정값,claude_opus_4_7:10 gemini:10 seam:4,gemini,0,13
45,45_新年_1919-01,101,1919-01-15,敎門訂議,新年元旦,李敦化,8,,5,N,,,,,,draft,140,8,5,고정값,claude_opus_4_7:5 gemini:5,gemini,5,7
46,46_將來_1919-02,102,1919-02-15,敎門訂議,將來의 宗敎,李敦化,1,,6,N,,,,,,draft,278,36,6,고정값,claude_opus_4_7:6 gemini:6,gemini,0,69
47,47_我觀_1919-03,103,1919-03-15,敎理部,我觀東經,李敦化,14,,5,N,,,,,,draft,149,14,5,고정값,claude_opus_4_7:5 gemini:5,gemini,0,22
48,48_靈通_1919-04,104,1919-04-15,敎理部,靈通說,李敦化,24,,5,N,,,,,,draft,201,13,5,고정값,claude_opus_4_7:5 gemini:5,gemini,0,34
49,49_默念_1919-05,105,1919-05-15,敎理部,默念論(續),李敦化,11,,7,N,,,,,,draft,336,37,7,고정값,claude_opus_4_7:7 gemini:7,gemini,0,2
50,50_眞實_1919-06,106,1919-06-15,敎門訂議,眞實된 信仰生活,李敦化,1,,8,N,,,,,,draft,351,24,8,고정값,claude_opus_4_7:8 gemini:8,,0,12
51,51_愛開_1919-07,107,1919-07-15,敎門訂議,愛의 開放,李敦化,6,,5,N,,,,,,draft,70,10,5,고정값,claude_opus_4_7:5 gemini:5,gemini,0,8
52,52_自覺_1919-09,109,1919-09-15,敎門訂議,自覺ᄒᆞ야써 其根에 歸ᄒᆞ라,李敦化,1,,6,N,,,,,,draft,245,21,6,고정값,claude_opus_4_7:6 gemini:6,,0,1
53,53_今日_1919-10,110,1919-10-15,敎門訂議,今日以後의 宗敎,李敦化,2,,5,N,,,,,,draft,23,2,5,고정값,claude_opus_4_7:5 gemini:5,gemini,2,39
54,54_十月_1919-11,111,1919-11-15,敎門訂議,十月二十八日大祈禱,李敦化,2,,5,N,,,,,,draft,167,23,5,고정값,claude_opus_4_7:5 gemini:5,gemini,0,7
55,55_改造_1919-12,112,1919-12-15,敎門訂議,改造와 宗敎,李敦化,4,,5,N,,,,,,draft,22,11,5,고정값,claude_opus_4_7:5 gemini:5,gemini,0,66
56,56_天道_1920-01,113,1920-01-15,敎門訂議,天道敎六十一歲花甲庚申을 迎喜,李敦化,7,,6,Y,,,,,,draft,293,15,6,고정값,claude_opus_4_7:6 gemini:6,gemini,1,14
57,57_天道_1920-02,114,1920-02-15,敎門訂議,天道敎靑年臨時敎理講習會에 就하야,李敦化,1,,6,N,,,,,,draft,258,12,6,고정값,claude_opus_4_7:6 gemini:6,,0,32
58,58_庚申_1920-04,116,1920-04-15,,庚申四月五日,李敦化,3,,6,N,,,,,,draft,260,9,6,고정값,claude_opus_4_7:6 gemini:6,gemini,0,35
59,59_哲人_1920-05,117,1920-05-15,敎門訂議,哲人主義의 將來와 新宗敎의 價値,李敦化,8,,5,N,,,,,,draft,178,19,5,고정값,claude_opus_4_7:5 gemini:5,gemini,0,28
60,60_自己_1920-06,118,1920-06-15,,自己解放과 人乃天主義,李敦化,1,,8,N,,,,,,draft,77,50,8,고정값,claude_opus_4_7:8 gemini:8,,0,24
61,61_自己_1920-07,119,1920-07-15,,自己解放과 人乃天主義(續),李敦化,1,,5,N,,,,,,draft,409,22,5,고정값,claude_opus_4_7:5 gemini:5,,2,17
62,62_十週_1920-08,120,1920-08-15,,十週年,李敦化,1,,9,N,,,,,,draft,334,20,9,고정값,claude_opus_4_7:9 gemini:9,gemini,0,17
63,63_法門_1920-09,121,1920-09-15,,오로지 法門에 依信하라,李敦化,1,,8,N,,,,,,draft,340,4,8,고정값,claude_opus_4_7:8 gemini:8,,0,4
64,64_布德_1920-10,122,1920-10-15,,布德天下는 活誠에 在하니라,李敦化,7,,5,N,,,,,,draft,210,43,5,고정값,claude_opus_4_7:5 gemini:5,,0,8
65,65_拘束_1920-11,123,1920-11-15,,拘束의 宗敎로부터 自由의 宗敎,李敦化,1,,8,N,,,,,,draft,332,9,8,고정값,claude_opus_4_7:8 gemini:8,,0,69
66,66_布德_1921-02,126,1921-02-15,,布德天下,李敦化,1,,8,N,,,,,,draft,283,11,8,고정값,claude_opus_4_7:8 gemini:8,,0,2
67,67_同歸_1921-03,127,1921-03-15,,同歸一體,李敦化,1,,7,N,,,,,,draft,297,26,7,고정값,claude_opus_4_7:7 gemini:7,gemini,0,51
68,68_性無_1921-06,130,1921-06-15,,사람性의 無窮을 論하노라(續),李敦化,1,,5,N,,,,,,draft,259,25,5,고정값,claude_opus_4_7:5 gemini:5,gemini,0,14
69,69_新文_1921-07,131,1921-07-15,,新文化는 무엇에 依하야 建設되랴,李敦化,1,,5,N,,,,,,draft,314,38,5,고정값,claude_opus_4_7:5 gemini:5,,0,36
70,70_中國_1921-12,136,1921-12-15,,中國 北京의 傳敎室 問題를 둣고 吾敎의 對外 發展을 賀함,李敦化,12,,6,N,,,,,,draft,157,25,6,고정값,claude_opus_4_7:6 gemini:6,gemini,0,14
71,71_新紀_1922-01,137,1922-01-15,,新紀元을 劃한 우리敎의 新面目,李敦化,10,,6,N,,,,,,draft,271,16,6,고정값,claude_opus_4_7:6 gemini:6,gemini,0,13
72,72_進化_1922-02,138,1922-02-15,,進化의 側面으로 본 人乃天,李敦化,8,,5,N,,,,,,draft,164,17,5,고정값,claude_opus_4_7:5 gemini:5,gemini,0,62
73,73_信仰_1922-03,139,1922-03-15,,信仰 觀念의 本體,李敦化,8,,8,N,,,,,,draft,325,23,8,고정값,claude_opus_4_7:8 gemini:8,gemini,0,22
74,74_信仰_1922-04,140,1922-04-15,,信仰 觀念의 本體(續),李敦化,15,,6,N,,,,,,draft,250,7,6,고정값,claude_opus_4_7:6 gemini:6,"claude_opus_4_7,gemini",0,2
75,75_宗教_1922-05,141,1922-05-15,,宗教의 六大 要素,李敦化,10,,3,N,,,,,,draft,153,14,6,고정값,claude_opus_4_7:6 gemini:6 seam:3,gemini,0,48
76,76_東經_1912-08,25,1912-08-15,敎理部,東經大全要旨講解(續),李敦化,12,,3,N,,,,,,draft,101,5,3,고정값,claude_opus_4_7:3 gemini:3,,0,0
77,77_靈通1_1912-10,27,1912-10-15,敎理部,靈通力이 事實됨을 解明言,李敦化,11,,8,N,,,,,,draft,211,25,8,고정값,claude_opus_4_7:8 gemini:8,gemini,0,33
78,78_靈性_1913-04,33,1913-04-15,敎理部,靈性的 生活,李敦化,8,,4,N,,,,,,draft,101,4,4,고정값,claude_opus_4_7:4 gemini:4,gemini,0,3
79,79_大神2_1918-08,96,1918-08-15,敎理部,大神師性靈出世說(其二),李敦化,14,,4,N,,,,,,draft,193,28,4,고정값,claude_opus_4_7:4 gemini:4,,0,6
80,80_大神3_1918-09,97,1918-09-15,敎理部,大神師性靈出世說(其三),李敦化,16,,3,N,,,,,,draft,208,19,3,고정값,claude_opus_4_7:3 gemini:3,,0,16
81,81_大神4_1918-10,98,1918-10-15,敎理部,大神師性靈出世說(其四),李敦化,14,,4,N,,,,,,draft,238,15,4,고정값,claude_opus_4_7:4 gemini:4,gemini,8,16
82,82_大神5_1918-11,99,1918-11-15,敎理部,大神師性靈出世說(其五),李敦化,16,,3,N,,,,,,draft,73,8,3,고정값,claude_opus_4_7:3 gemini:3,gemini,0,13
83,83_現代_1920-03,115,1920-03-15,敎門訂議,現代思潮와 事人如天主義,李敦化,1,,7,N,,,,,,draft,202,14,7,고정값,claude_opus_4_7:7 gemini:7,gemini,0,12
84,84_年齡_1920-12,124,1920-12-15,,年齡論,李敦化,22,,7,N,,,,,,draft,533,32,7,고정값,claude_opus_4_7:7 gemini:7,gemini,0,2
85,85_사람性_1921-04,128,1921-04-15,,사람性의 無窮을 論하노라,李敦化,1,,6,N,,,,,,draft,233,14,6,고정값,claude_opus_4_7:6 gemini:6,"claude_opus_4_7,gemini",0,32
86,86_우리_1921-11,135,1921-11-15,,"우리時代의 創造事業, 目下의 急先務를 提案함",李敦化,9,,6,N,,,,,,draft,183,14,6,고정값,claude_opus_4_7:6 gemini:6,gemini,0,15
87,87_永久_1917-12,89,1917-12-15,雜俎,永久之愛妻,夜雷,29,,2,N,,,,,,draft,121,4,4,검출,claude_opus_4_7:4 gemini:4,gemini,0,0
88,88_우리_1918-01,90,1918-01-15,諺文部,우리ᄂᆞᆫ 무슨 필요로 도를 닥는가,夜雷,4,,4,N,,,,,,draft,173,6,8,검출,claude_opus_4_7:8 gemini:8,,0,0
89,89_枕上_1918-02,91,1918-02-15,雜俎,枕上雜感,夜雷,30,,3,N,,,,,,draft,1,0,6,검출,claude_opus_4_7:6 gemini:6,,0,0
90,90_孤灯_1918-03,92,1918-03-15,雜俎,孤灯의 下에셔,夜雷,32,,5,N,,,,,,draft,1,0,10,검출,claude_opus_4_7:10 gemini:10,gemini,0,0
91,91_因襲_1918-04,93,1918-04-15,敎門訂議,因襲的主觀에 拘束된 世人의 誤解,夜雷,1,1~7,7,N,,2026-08-12,Soo,일치,처음부터 목차와 같다. 제목부터 끝까지 완결,draft,481,13,14,검출,claude_opus_4_7:14 gemini:14,,0,0
92,92_京城_1918-05,94,1918-05-15,雜俎,京城에셔 永興까지,夜雷,43,,4,N,,,,,,draft,301,16,8,검출,claude_opus_4_7:8 gemini:8,gemini,0,0
93,93_宗敎_1918-07,95,1918-07-15,敎門訂議,宗敎的修養과 處世方法(其一),夜雷,1,,4,N,,,,,,draft,238,5,8,검출,claude_opus_4_7:8 gemini:8,gemini,0,0
94,94_宗敎_1918-08,96,1918-08-15,敎門訂議,宗敎的修養과 處世方法(其二),夜雷,6,,5,N,,,,,,draft,334,14,10,검출,claude_opus_4_7:10 gemini:10,gemini,0,0
95,95_迷信_1918-09,97,1918-09-15,敎門訂議,迷의 信仰으로 覺의 信仰에,夜雷,1,,6,N,,,,,,draft,516,17,12,검출,claude_opus_4_7:12 gemini:12,,0,0
96,96_各其_1918-10,98,1918-10-15,敎門訂議,各其所信을 反省ᄒᆞ라,夜雷,8,,5,N,,,,,,draft,301,15,10,검출,claude_opus_4_7:10 gemini:10,gemini,0,0
97,97_信仰_1918-11,99,1918-11-15,敎門訂議,信仰性과 社會性,夜雷,6,,5,N,,,,,,draft,320,20,10,검출,claude_opus_4_7:10 gemini:10,,0,0
98,98_信仰_1918-12,100,1918-12-18,敎理部,信仰性과 社會性(其二),夜雷,19,,5,N,,,,,,draft,258,5,10,검출,claude_opus_4_7:10 gemini:10,gemini,0,0
99,99_信仰_1919-01,101,1919-01-15,敎理部,信仰性과 社會性(續),夜雷,13,,4,N,,,,,,draft,333,8,8,검출,claude_opus_4_7:8 gemini:8,,0,0
100,100_信仰_1919-02,102,1919-02-15,敎理部,信仰性과 社會性(其四),夜雷,11,,5,N,,,,,,draft,363,14,10,검출,claude_opus_4_7:10 gemini:10,gemini,0,0
101,101_將來_1919-03,103,1919-03-15,敎門訂議,將來의 宗敎(續),夜雷,1,,8,N,,,,,,draft,381,14,16,검출,claude_opus_4_7:16 gemini:16,gemini,0,0
102,102_默念_1919-04,104,1919-04-15,敎門訂議,默念論,夜雷,1,,12,N,,,,,,,,,24,검출,claude_opus_4_7:16 gemini:24,gemini,0,0
103,103_將來_1919-05,105,1919-05-15,敎門訂議,將來의 宗敎(其三),夜雷,6,,5,N,,,,,,,,,10,검출,,,0,0
104,104_默念_1919-06,106,1919-06-15,敎理部,默念論(續),夜雷,15,,5,N,,,,,,,,,10,검출,,,0,0
105,105_處世_1919-07,107,1919-07-15,講演,處世神言,夜雷,23,,6,N,,,,,,,,,12,검출,,,0,0
106,106_自力_1919-09,109,1919-09-15,敎理部,自力的敎化,夜雷,17,,4,N,,,,,,,,,8,검출,,,0,0
107,107_動物_1919-10,110,1919-10-15,讀者文壇,動物園訪問記,夜雷,37,,5,N,,,,,,,,,10,검출,,,0,0
108,108_新信_1919-11,111,1919-11-15,敎理部,新信仰,夜雷,19,,3,N,,,,,,,,,6,검출,,,0,0
109,109_萬事_1919-12,112,1919-12-15,敎理部,萬事知,夜雷,20,,4,N,,,,,,,,,8,검출,,,0,0
110,110_宇宙_1920-01,113,1920-01-15,敎理部,宇宙의 中心,夜雷,27,,5,N,,,,,,,,,10,검출,,,0,0
111,111_眞人_1920-02,114,1920-02-15,敎理部,眞의 人生,夜雷,15,,4,N,,,,,,,,,8,검출,,,0,0
112,112_經傳_1920-03,115,1920-03-15,敎理部,經傳의 硏究,夜雷,23,,3,N,,,,,,,,,6,검출,,,0,0
113,113_混沌_1920-04,116,1920-04-15,,混沌으로 나와 混沌에 도라가는 人生,夜雷,38,,4,N,,,,,,,,,8,검출,,,0,0
114,114_水陸_1920-05,117,1920-05-15,講演,水陸三千里,夜雷,80,,8,N,,,,,,,,,16,검출,,,0,0
115,115_朝鮮_1920-06,118,1920-06-15,,朝鮮에 特有한 宗敎思想을 論함,夜雷,38,,5,N,,,,,,,,,10,검출,,,0,0
116,116_本報_1920-08,120,1920-08-15,,本報의 三界,夜雷,39,,4,N,,,,,,,,,8,검출,,,0,0
117,117_呪文_1920-09,121,1920-09-15,,呪文의 哲學的 意義,夜雷,18,,2,N,,,,,,,,,4,검출,,,0,0
118,118_實在_1920-11,123,1920-11-15,,實在論으로 觀한 人乃天主義,夜雷,31,,6,N,,,,,,,,,12,검출,,,0,0
119,119_質疑_1921-04,128,1921-04-15,,質疑者에게 答함,夜雷,53,,8,N,,,,,,,,,16,검출,,,0,0
120,120_質疑_1921-07,131,1921-07-15,,質疑者의게 答함,夜雷,58,,3,N,,,,,,,,,6,검출,,,0,0
121,121_追僧_1917-11,88,1917-11-15,雜俎,追僧과 活僧,滄海居士,24,,3,N,,,,,,,,,6,검출,,,0,0
122,122_野花_1917-12,89,1917-12-15,敎理部,野花千萬枝遊客忘歸家,滄海居士,11,,3,N,,,,,,,,,6,검출,,,0,0
123,123_龍潭_1918-01,90,1918-01-15,敎理部,龍潭心法,滄海居士,9,,4,N,,,,,,,,,8,검출,,,0,0
124,124_是我_1918-02,91,1918-02-15,講演,是我死生觀,滄海居士,16,,4,N,,,,,,,,,8,검출,,,0,0
125,125_近庚_1918-03,92,1918-03-15,敎門訂議,近ᄒᆞ야 오ᄂᆞᆫ 庚申四月,滄海居士,5,,4,N,,,,,,,,,8,검출,,,0,0
126,126_任筆_1918-04,93,1918-04-15,雜俎,任筆錄,滄海居士,42,42~47,6,N,,2026-08-12,Soo,고침,"목차는 「還元一束/滄海居士/42」 「任筆錄/朴炳玉/41」로 밀려 있었다. 지면 42~47은 滄海居士의 任筆錄이다. 폴더명 126_還元 → 126_任筆, series_index·meta.yaml 함께 정정. 「還元一束」은 개별 글이 아니라 부고 고정란(통58~198)",,,,12,검출,,,0,0
127,127_偉大_1918-05,94,1918-05-15,敎理部,偉大ᄒᆞᆫ 心의 世界 其二,滄海居士,15,,5,N,,,,,,,,,10,검출,,,0,0
128,128_任筆_1918-07,95,1918-07-15,雜俎,任筆錄(其三),滄海居士,30,,3,N,,,,,,,,,6,검출,,,0,0
129,129_任筆_1918-09,97,1918-09-15,雜俎,任筆錄(其五),滄海居士,31,,4,N,,,,,,,,,8,검출,,,0,0
130,130_任筆_1918-10,98,1918-10-15,雜俎,任筆錄(其六),滄海居士,30,,5,N,,,,,,,,,10,검출,,,0,0
131,131_任筆_1918-11,99,1918-11-15,雜俎,任筆錄(其六),滄海居士,37,,4,N,,,,,,,,,8,검출,,,0,0
132,132_任筆_1918-12,100,1918-12-18,雜俎,任筆錄(其八),滄海居士,63,,4,N,,,,,,,,,8,검출,,,0,0
133,133_任筆_1919-01,101,1919-01-15,雜俎,任筆錄,滄海居士,40,,4,N,,,,,,,,,8,검출,,,0,0
134,134_蓬萊_1919-02,102,1919-02-15,雜俎,蓬萊山(其一),滄海居士,39,,6,N,,,,,,,,,12,검출,,,0,0
135,135_蓬萊_1919-03,103,1919-03-15,雜俎,蓬萊山(其二),滄海居士,30,,6,N,,,,,,,,,12,검출,,,0,0
136,136_余告_1919-04,104,1919-04-15,講演,余의 告白,白頭山人,31,,4,N,,,,,,,,,8,검출,,,0,0
137,137_心世_1919-04,104,1919-04-15,敎理部,心의 世界,滄海居士,16,,5,N,,,,,,,,,10,검출,,,0,0
138,138_處世_1919-05,105,1919-05-15,講演,處世神言,白頭山人,23,,4,N,,,,,,,,,8,검출,,,0,0
139,139_最後_1919-06,106,1919-06-15,講演,最後宗敎의 大性無量光,白頭山人,24,,5,N,,,,,,,,,10,검출,,,0,0
140,140_月尾_1919-06,106,1919-06-15,雜俎,月尾島의 春色,滄海居士,39,,5,N,,,,,,,,,10,검출,,,0,0
141,141_神人_1919-07,107,1919-07-15,敎理部,神人의 跡,白頭山人,16,,7,N,,,,,,,,,14,검출,,,0,0
142,142_體的_1919-07,107,1919-07-15,講演,體的倫理,滄海居士,27,,4,N,,,,,,,,,8,검출,,,0,0
143,143_略史_1919-09,109,1919-09-15,敎理部,略史及敎理,白頭山人,13,,4,N,,,,,,,,,8,검출,,,0,0
144,144_北遊_1919-09,109,1919-09-15,雜俎,北遊半個月,滄海居士,41,,3,N,,,,,,,,,6,검출,,,0,0
145,145_略史_1919-10,110,1919-10-15,敎理部,略史及敎理(其三),白頭山人,12,,4,N,,,,,,,,,8,검출,,,0,0
146,146_略史_1919-11,111,1919-11-15,敎理部,略史及敎理,白頭山人,12,,3,N,,,,,,,,,6,검출,,,0,0
147,147_活動_1919-11,111,1919-11-15,敎理部,活動主義의 道德,滄海居士,15,,4,N,,,,,,,,,8,검출,,,0,0
148,148_略史_1919-12,112,1919-12-15,敎理部,略史及敎理,白頭山人,17,,3,N,,,,,,,,,6,검출,,,0,0
149,149_理想_1919-12,112,1919-12-15,敎理部,理想의 力,滄海居士,24,,3,N,,,,,,,,,6,검출,,,0,0
150,150_略史_1920-01,113,1920-01-15,敎理部,略史及敎理,白頭山人,23,,3,N,,,,,,,,,6,검출,,,0,0
151,151_涙_1920-01,113,1920-01-15,讀者文壇,涙,滄海居士,71,,3,N,,,,,,,,,6,검출,,,0,0
152,152_大神_1920-02,114,1920-02-15,敎理部,大神師이 法言이 時代의 預言的으로 되야음,滄海居士,27,,3,N,,,,,,,,,6,검출,,,0,0
153,153_略史_1920-03,115,1920-03-15,敎理部,略史及敎理,白頭山人,20,,3,N,,,,,,,,,6,검출,,,0,0
154,154_遺詞_1920-08,120,1920-08-15,,遺詞中으로 觀한 大神師의 法訓,白頭山人,56,,3,N,,,,,,,,,6,검출,,,0,0
155,155_問者_1920-09,121,1920-09-15,,問者의게 答함,滄海居士,36,,2,N,,,,,,,,,4,검출,,,0,0
156,156_年齡_1921-12,136,1921-12-15,,年齡上 問題,白頭山人,73,,8,N,,,,,,,,,16,검출,,,0,0
157,157_蓬萊_1919-05,105,1919-05-15,雜俎,蓬萊山,滄海居士,38,,3,N,,,,,,,,,6,검출,,,0,0
