rank,pid_1915,pid_1924,similarity,chapter_1915,chapter_1924,section_1924,text_1915,text_1924
26,C08-P13,C03-S04-I07-P08,0.15384615384615385,C08,C03,C03-S04,さう云ふ譯でありまして、此生存欲に於ける不調和からして殊に死を怖れると云ふことが、人類に取つて偉大なることである爲めに、そこで宗敎と云ふものが起つて其怖れを去る...,以上은 單히 人類가 進化上에 잇서 아즉 不調和하엿다는 点을 例로써 一言한 것이나 엇지 하엿든 人類는 아즉 進化의 無窮을 압길에 두고 나가는 것이...
27,C13-S06-P02,C06-S06-P06,0.15,C13,C06,C06-S06,それから基督敎では神樣の敎といふものを基督が説いた。 基督の説いたのは神樣の敎である。 此の敎を守れば人間は精神的生命を得る事が出來る、即ち永久不滅の生活に入る...,丁、基督敎는 基督 復活의 理를 說하야 一般 信者가 한가지로 來世의 復活을 信하나 儒敎는 不然한 것
28,C01-S03-P02,C03-S04-I06-P05,0.14285714285714285,C01,C03,C03-S04,第一は神學時代,第一 作用은 肉體에서 生하고 肉體는 生命에서 生하고 生命은 大宇宙의 活精에서 生하는 것
29,C01-S03-P03,C03-S04-I06-P06,0.14285714285714285,C01,C03,C03-S04,第二は超物理學時代,第二 大宇宙의 活精이 사람에게 表顯될 時—吾人은 이를 稱하야 靈魂이라 하는 것
30,C02-P03,C03-S04-I02-P01,0.14285714285714285,C02,C03,C03-S04,{{FIG:Inoue_Dualism_List | TYPE:Opposite_Pairs | LOC:p37}} /// (1)唯物論……唯心論 /// (...,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라
31,C02-P06,C03-S04-I02-P01,0.14285714285714285,C02,C03,C03-S04,先づ唯物論に對して批評を加へやうと思ひますが、それには唯物論はどういふものであるかと云ふことを述べなければならぬ。,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라
32,C02-P14,C03-S04-I02-P10,0.14285714285714285,C02,C03,C03-S04,第二には、物質は精神を豫想して居る。 物質といふものを立てるのには、どうしても吾々の精神といふものを先へ立てぬければならぬ。 認識の順序から云へば精神の方が先だ...,上圖와 가티 物質과 精神은 한가지로 實在的 原理에 依하야 나타나는 것임으로 唯心과 唯物은 同一한 原理의 實在的 存在라 할 수 잇다
33,C02-P29,C03-S04-I02-P06,0.14285714285714285,C02,C03,C03-S04,先づ唯物論と唯心論といふものを對照して論じましたが、次に實在論(Realismus)といふものに就いて少し述べて見やうと思ひます。,이러케 생각하고 보면 唯物論과 唯心論은 둘이다 各一條의 眞理를 가젓슴과 가티 둘이다 一偏의 缺陷이 잇슴을 알지라 即 眞理는 唯物임과 同時에 唯心...
34,C05-P04,C03-S04-I04-P07,0.14285714285714285,C05,C03,C03-S04,生命は自己經營を爲し發展を遂げて止まざる獨立の活動なり。,生命의 發生原因에 就하야 세 가지의 議論이 잇으니
35,C05-P06,C03-S04-I04-P07,0.14285714285714285,C05,C03,C03-S04,生命は或時間自己經營を爲し發展を遂げて止まざる比較的獨立の活動なり。,生命의 發生原因에 就하야 세 가지의 議論이 잇으니
36,C05-P19,C03-S04-I04-P07,0.14285714285714285,C05,C03,C03-S04,其次に、生命と宇宙といふことに就いて極く簡單に私の見る所を述べて置かうと思ふ。 是れは餘り大きな問題でありますから、生命の初といふ處からして考を述べて見ませう。,生命의 發生原因에 就하야 세 가지의 議論이 잇으니
37,C06-P15,C03-S04-I05-P03,0.14285714285714285,C06,C03,C03-S04,第三、動物本位意識論（Animalische Theorie des Bewusstseins）是れは凡ての動物に意識があると云ふのであります。 さうして單に動...,첫재는 사람 本位의 意識論이니 即 사람 以外의 것은 무엇이든지 意識이 업다 하는 것이며
38,C06-P17,C03-S04-I05-P05,0.14285714285714285,C06,C03,C03-S04,第五、細胞本位意識論（Cellulare Theorie des Bewusstseins）是れは凡ての細胞に意識があると云ふのでありまして、なか／＼廣くなりて...,셋재는 動物 本位의 意識論이니 一般의 動物은 神經의 有無를 不問하고 한가지로 意識이 잇다 하는 것이니 이것은 前者에 比하야 또한 超越한 것이며
39,C13-S01-P01,C06-S06-P06,0.14285714285714285,C13,C06,C06-S06,基督敎と儒敎と對照して見ますと素より種々なる差異點のあることが見えるのであります。 此處には差異點を講究する積りではないけれども、差異點のあることを決して看過し...,丁、基督敎는 基督 復活의 理를 說하야 一般 信者가 한가지로 來世의 復活을 信하나 儒敎는 不然한 것
40,C13-S01-P02,C06-S06-P03,0.14285714285714285,C13,C06,C06-S06,第一、基督敎は宗敎として發達して來たものでありまして、信仰に依つて成立つて居ります。 儒敎は全く宗敎的分子がないといふのではないけれども、大體は德敎であります。...,甲、基督敎는 純粹信仰에 依하야 成立된 宗敎이나 儒敎는 大體가 德敎인 것이다 基督敎는 知를 不要하고 理論을 不要하는 宗敎이니 但히 神을 信하며 神...
41,C14-S02-P04,C06-S06-P18,0.14285714285714285,C14,C06,C06-S06,第三には、前に擧げた差異點と關係のあることでありますけれども、やはり區別して此に論じて一層佛基二敎の性質の相違を明にすることに致しませう。,以上은 儒 佛 基三敎의 差異點을 槪述한 것이라 이제 人乃天이 그 三敎의 特色에 比하야 如何한 區別이 잇는가를 言하면
42,C14-S03-P01,C06-S06-P13,0.14285714285714285,C14,C06,C06-S06,尙この佛敎と基督敎といふものを對照して見ますると、宗敎の種類が餘程違つて居ります。 どちらも宗敎は宗敎であるけれども、其の宗敎の種類が決して同じものではない。,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
43,C14-S04-P03,C06-S06-P15,0.14285714285714285,C14,C06,C06-S06,如何に佛敎と基督敎を調和しやうとしても、歷史的には到底調和することの出來ないのは、此顯著なる差異點であります。,己、佛敎는 佛을 汎神敎的 宇宙普遍인 理性으로 解釋할 수 잇스나 基督敎는 어대까지든지 神을 人格者로 觀하는 것이라
44,C14-S04-P05,C06-S06-P16,0.14285714285714285,C14,C06,C06-S06,第三に佛敎には涅槃(ニルヴーナ)の考へがあります。 涅槃は究竟目的でありまして實に印度の哲學宗敎の特色であります。 さうして是れは基督敎には全く無い事であります...,庚、佛敎는 最後 理想의 境涯를 涅槃이라 하엿스나 基督敎는 그를 天國이라 名命한 것이라 大槪 涅槃과 天國의 差別點은 前者는 모든 個性我의 差別相을...
45,C21-P16,C06-S06-P03,0.14285714285714285,C21,C06,C06-S06,(四) 救濟の信仰 救濟の信仰と申しますのは、その超人的の勢力は必ず自分を將來に於て救濟する、と。 唯、さう云ふ希望だけ言つたのぢやいけない、必ず救濟するもので...,甲、基督敎는 純粹信仰에 依하야 成立된 宗敎이나 儒敎는 大體가 德敎인 것이다 基督敎는 知를 不要하고 理論을 不要하는 宗敎이니 但히 神을 信하며 神...
46,C22-P15,C06-S06-P09,0.14285714285714285,C22,C06,C06-S06,宗敎の側はどうなるかと云ふと、私は斯う思ふ、基督敎といふものは、基督敎が歐米に繁昌したやうに、日本に繁昌することは出來ない。 なぜなれば歐米諸國には佛敎の如き先...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
47,C13-S01-P04,C06-S06-P05,0.13793103448275862,C13,C06,C06-S06,第三に基督敎の側では未來生活の信仰があります。 神の敎を守つて行く者は天國に入る、さうでない者は滅亡を免れぬといふやうに説きます。 さうして地獄極樂といふものが...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
48,C13-S01-P03,C06-S06-P02,0.13333333333333333,C13,C06,C06-S06,第二に、基督敎の方では世界の創造を信じて居りますけれども、儒敎にはさういふことが素より無い。 儒敎では宇宙の發展して行く處は之を說きますけれども創造は說きませぬ...,第一 儒敎와 基督敎의 差異点으로 말하면
49,C13-S01-P03,C06-S06-P09,0.13333333333333333,C13,C06,C06-S06,第二に、基督敎の方では世界の創造を信じて居りますけれども、儒敎にはさういふことが素より無い。 儒敎では宇宙の發展して行く處は之を說きますけれども創造は說きませぬ...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
50,C13-S01-P07,C06-S06-P06,0.13333333333333333,C13,C06,C06-S06,六には基督敎は愛を説き、儒敎は仁を説きます。 仁も愛に相違ないが、基督敎の愛は無差別平等の愛であり、儒敎の愛は差別的秩序的の愛であります。 近い處から段々遠きに...,丁、基督敎는 基督 復活의 理를 說하야 一般 信者가 한가지로 來世의 復活을 信하나 儒敎는 不然한 것
51,C13-S03-P01,C06-S06-P02,0.13333333333333333,C13,C06,C06-S06,基督敎の道徳の側には餘程儒敎に似た所があります。 基督敎は固より純粹な宗敎であるけれども、倂ながら道徳の敎が澤山あります。 中には儒敎にちよつと無いやうな道徳の...,第一 儒敎와 基督敎의 差異点으로 말하면
52,C14-S02-P04,C06-S06-P21,0.13333333333333333,C14,C06,C06-S06,第三には、前に擧げた差異點と關係のあることでありますけれども、やはり區別して此に論じて一層佛基二敎の性質の相違を明にすることに致しませう。,第三 「理想境」은 地上天國으로 한 것이니 人乃天은 神과 人을 區別치 안이함으로 人으로써 神性의 生活을 表顯하는 날이면 地上이 곧 天國된다 信하는...
53,C22-P21,C06-S06-P09,0.13333333333333333,C22,C06,C06-S06,私は亞米利加の「ユニテリアン」を硏究したことはないが、日本ではどうしても日本人の頭腦を以て基督敎であれ、佛敎であれ、總ての古來の宗敎の形體を棄てゝ、其精神を探つ...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
54,C13-S01-P05,C06-S06-P08,0.13043478260869565,C13,C06,C06-S06,第四に基督敎の方は復活（レサレクション）の考があります。 基督が復活したといふことを篤く信じて、基督を信仰する者は亦基督の樣に復活するといふのがポーロの考であり...,己、基督敎는 支那의 墨子와 가티 兼愛를 說하엿으나 儒敎는 差別愛를 說한 것이라 基督 聖經中에 일넛스되 敵을 愛하라 하엿스며 人이 我의 右頰을 打...
55,C21-P15,C01-S02-I03-P01,0.13043478260869565,C21,C01,C01-S02,(三) 敬虔の念 是れは超人的の勢力を信仰して、其超人的の勢力は吾々の運命を支配するものである、即ち將來の不明なる範圍に於て吾々の運命を左右するものであると云ふ...,一神敎에서는 宗敎的 要素로 超人的 勢力을 밋는 것이며 超人的 勢力에 歸依하는 것이며 超人的 勢力에 對한 希望과 祈願이 그 主要한 要素이며 그리하...
56,C06-P05,C03-S04-I04-P03,0.12698412698412698,C06,C03,C03-S04,（二）統一 - 第二の特徴は統一（Einheit）であります。 生命は唯、生れてから死ぬる迄の運動の繼續と云ふことがあるばかりではない。 其處に統一作用が中心點...,第二 生命은 統一作用이 有하다 生命의 運動에는 반듯이 中心点이 잇나니 譬컨대 一團體의 組織과 一國家의 作用에 主權이라 하는 統一的 한 作用이 잇...
57,C02-P04,C03-S04-I02-P01,0.125,C02,C03,C03-S04,斯樣な具合に唯物論と唯心論とが對立してゐて、其れと同じく經驗論(Empirismus)と唯理論(Rationalismus)といふものが對立して居る。 即ち經驗...,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라
58,C02-P22,C03-S04-I02-P01,0.125,C02,C03,C03-S04,倂しながら此處に唯心論と申しまする中には色々な哲學系統が含まれて居ります。 唯心論は唯物論のやうに、さう單純に取扱ふことは出來ぬ。 なか／＼其種類が多い。 それ...,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라
59,C02-P47,C03-S04-I02-P01,0.125,C02,C03,C03-S04,實在論にも種々ありますけれども、其最も完全なるものを吾々は圓融實在論とも又現象即實在論ともいつて居ります。 今日は其趣意を述ぶるのを目的としたのではありませぬ。...,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라
60,C05-P19,C03-S04-I06-P08,0.125,C05,C03,C03-S04,其次に、生命と宇宙といふことに就いて極く簡單に私の見る所を述べて置かうと思ふ。 是れは餘り大きな問題でありますから、生命の初といふ處からして考を述べて見ませう。,第四 人이 死함과 共히 靈魂은 다시 사람性(宇宙의 靈性)에 歸하는 것
61,C05-P19,C03-S04-I06-P09,0.125,C05,C03,C03-S04,其次に、生命と宇宙といふことに就いて極く簡單に私の見る所を述べて置かうと思ふ。 是れは餘り大きな問題でありますから、生命の初といふ處からして考を述べて見ませう。,第五 吾人은 吾人의 現在意識內에 모든 過去의 事實을 記憶保存함과 共히 吾人은 死後에 또 한 사람性의 內에서 生命의 모든 事實을 冥保하야 永久한 ...
62,C06-P02,C03-S04-I04-P07,0.125,C06,C03,C03-S04,吾々人間の生命の如く、最も高度に發展したる生命の特徴は左の五種であります。,生命의 發生原因에 就하야 세 가지의 議論이 잇으니
63,C06-P16,C03-S04-I05-P02,0.125,C06,C03,C03-S04,第四、生物本位意識論（Biologische Theorie des Bewusstseins）是れは凡ての有機體に意識がある、即ち動植物を通じて意識があると云...,意識을 觀念하는 上 다섯 가지의 思考가 잇나니
64,C06-P17,C03-S04-I05-P02,0.125,C06,C03,C03-S04,第五、細胞本位意識論（Cellulare Theorie des Bewusstseins）是れは凡ての細胞に意識があると云ふのでありまして、なか／＼廣くなりて...,意識을 觀念하는 上 다섯 가지의 思考가 잇나니
65,C06-P18,C03-S04-I05-P02,0.125,C06,C03,C03-S04,第六、原子本位意識論（Atomistische Theorie des Bewusstseins）是れは細胞どころではない、凡ての原子に意識がある、と。 斯う云...,意識을 觀念하는 上 다섯 가지의 思考가 잇나니
66,C06-P18,C03-S04-I05-P13,0.125,C06,C03,C03-S04,第六、原子本位意識論（Atomistische Theorie des Bewusstseins）是れは細胞どころではない、凡ての原子に意識がある、と。 斯う云...,우리가 如斯히 原子界의 意識을 認定하고 나서 更進하야 靜然히 大宇宙의 裡面을 默想하야 본다 하면 大宇宙는 實로 無量 廣大한 意識界로서 그 廣大無...
67,C13-S01-P02,C06-S06-P05,0.125,C13,C06,C06-S06,第一、基督敎は宗敎として發達して來たものでありまして、信仰に依つて成立つて居ります。 儒敎は全く宗敎的分子がないといふのではないけれども、大體は德敎であります。...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
68,C13-S01-P04,C06-S06-P02,0.125,C13,C06,C06-S06,第三に基督敎の側では未來生活の信仰があります。 神の敎を守つて行く者は天國に入る、さうでない者は滅亡を免れぬといふやうに説きます。 さうして地獄極樂といふものが...,第一 儒敎와 基督敎의 差異点으로 말하면
69,C13-S02-P03,C06-S06-P02,0.125,C13,C06,C06-S06,それは孔子が天と人との間に在る。 孔子は天と一致し、天を代表して其の數女を人間に傳へたのでありまして、孔子は人天の間の媒介者であります。 宋儒が道の本源、天に出...,第一 儒敎와 基督敎의 差異点으로 말하면
70,C13-S06-P04,C06-S06-P02,0.125,C13,C06,C06-S06,斯樣に基督敎と儒敎とをいろ／＼比較對照して考へて見ますと、大に違つて居ると思ふことも解释のしやうによつては意外に類似したことになるのであります。 基督敎と儒敎と...,第一 儒敎와 基督敎의 差異点으로 말하면
71,C14-S04-P03,C06-S06-P18,0.125,C14,C06,C06-S06,如何に佛敎と基督敎を調和しやうとしても、歷史的には到底調和することの出來ないのは、此顯著なる差異點であります。,以上은 儒 佛 基三敎의 差異點을 槪述한 것이라 이제 人乃天이 그 三敎의 特色에 比하야 如何한 區別이 잇는가를 言하면
72,C14-S05-P01,C03-S03-I02-P11,0.125,C14,C03,C03-S03,次に道德に關する方面にいろ／＼の差異點がありますが、今は唯、三つの點を擧げて之を論ずることに致しませう。,한울과 사람을 한가지로 생기는 道德에는 한울이 至仁함과 가티 사람도 사람性의 至仁을 發揮하야 하겟고 한울이 至愛함과 가티 사람도 또한 사람性의 ...
73,C21-P16,C03-S03-I02-P12,0.125,C21,C03,C03-S03,(四) 救濟の信仰 救濟の信仰と申しますのは、その超人的の勢力は必ず自分を將來に於て救濟する、と。 唯、さう云ふ希望だけ言つたのぢやいけない、必ず救濟するもので...,要컨대 人乃天의 宗敎는 사람으로써 한울 되게 하는 信仰이니 過去 사람들이 平等、自由、仁愛、慈悲와 美德은 오즉 한울님의 專有物로 하야 그를 但히 ...
74,C13-S01-P05,C06-S06-P05,0.12,C13,C06,C06-S06,第四に基督敎の方は復活（レサレクション）の考があります。 基督が復活したといふことを篤く信じて、基督を信仰する者は亦基督の樣に復活するといふのがポーロの考であり...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
75,C08-P05,C03-S04-I07-P06,0.11842105263157894,C08,C03,C03-S04,人類にある不調和の點は主として三つに別けて論じて居ります。 第一は消化器に於ける不調和であります。 それを一々今擧げることは出來ませぬ。 時間もありませぬし、私...,其理由는 이러하니 사람은 過去動物(他動物)的 時代에 잇슬 때에는 盲腸은 極히 必要한 作用을 하엿든 것이라 이제 他動物의 腸을 調査하야 보면 他動...
76,C06-P17,C03-S04-I05-P07,0.11764705882352941,C06,C03,C03-S04,第五、細胞本位意識論（Cellulare Theorie des Bewusstseins）是れは凡ての細胞に意識があると云ふのでありまして、なか／＼廣くなりて...,다섯재는 原子 本位의 意識論이니 이것은 全宇宙의 萬有現象을 한가지 意識的이라 思考하는 것이니 此論에 至하야는 意識은 前幾條보다 一層 普遍的 廣大...
77,C06-P18,C03-S04-I05-P07,0.11764705882352941,C06,C03,C03-S04,第六、原子本位意識論（Atomistische Theorie des Bewusstseins）是れは細胞どころではない、凡ての原子に意識がある、と。 斯う云...,다섯재는 原子 本位의 意識論이니 이것은 全宇宙의 萬有現象을 한가지 意識的이라 思考하는 것이니 此論에 至하야는 意識은 前幾條보다 一層 普遍的 廣大...
78,C13-S03-P02,C06-S06-P06,0.11764705882352941,C13,C06,C06-S06,第一、基督敎では愛といふことを大變に尊びますが、其の愛は前にも申しましたやうに無差別平等の愛であるか、儒敎の愛と違ふ點は無論ありますけれども、倂ながら愛を説くと...,丁、基督敎는 基督 復活의 理를 說하야 一般 信者가 한가지로 來世의 復活을 信하나 儒敎는 不然한 것
79,C13-S06-P02,C06-S06-P02,0.11764705882352941,C13,C06,C06-S06,それから基督敎では神樣の敎といふものを基督が説いた。 基督の説いたのは神樣の敎である。 此の敎を守れば人間は精神的生命を得る事が出來る、即ち永久不滅の生活に入る...,第一 儒敎와 基督敎의 差異点으로 말하면
80,C14-S02-P03,C06-S06-P11,0.11764705882352941,C14,C06,C06-S06,第二に佛敎は理性的の處があります。 徐程理窟ぽい處がある。 即ち理に訴へて説き明す方面がある。 それならばと云つて感情的の方面がないかといふとさうではない。 感...,乙、佛敎는 理性的 方面이 多하되 基督敎는 感情的 方面이 多한 것 佛敎의 敎理는 元來 組織的 演繹的 (例如 四聖諦 八正道 其他 認識論的 哲學) 으...
81,C14-S03-P01,C06-S06-P17,0.11764705882352941,C14,C06,C06-S06,尙この佛敎と基督敎といふものを對照して見ますると、宗敎の種類が餘程違つて居ります。 どちらも宗敎は宗敎であるけれども、其の宗敎の種類が決して同じものではない。,辛、佛敎은 人의 災禍는 사람 自己의 自業自得인 因果律로 엇는 것이라 하엿고 基督敎는 이를 先天的 人의 罪業으로 信하는 것이라 딸하서 佛敎는 사람...
